Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude
LOY,PY,PY Building,Psychology Building,7141 Sherbrooke W,45.458938,-73.640467
SGW,Q,Q Building,Q Annex,2010 Mackay Street,45.496648,-73.579094
SGW,R,R Building,R Annex,2050 Mackay Street,45.496826,-73.579389
LOY,RA,RA Building,Recreation and Athletics Complex,7200 Sherbrooke W,45.456774,-73.637610
LOY,RF,RF Building,Loyola Jesuit Hall and Conference Centre,7141 Sherbrooke W,45.458489,-73.641028
SGW,RR,RR Building,RR Annex,2040 Mackay Street,45.496796,-73.579259
SGW,S,S Building,S Annex,2145 Mackay Street,45.497423,-73.579851
SGW,SB,SB Building,Samuel Bronfman Building,1590 Doctor Penfield,45.496600,-73.586090
LOY,SC,SC Building,Student Centre,7141 Sherbrooke W,45.459131,-73.639251
LOY,SH,SH Building,Solar House,7141 Sherbrooke W,45.459298,-73.642478
LOY,SP,SP Building,Richard J. Renaud Science Complex,7141 Sherbrooke W,45.457881,-73.641565
SGW,T,T Building,T Annex,2030 Mackay Street,45.496710,-73.579270
LOY,TA,TA Building,Terrebonne Building,7079 Terrebonne,45.459992,-73.640897
LOY,TB,TB Building,TB Annex,7075 Terrebonne,45.460051,-73.640842
SGW,TD,TD Building,Toronto-Dominion Building,1410 Guy Street,45.495103,-73.578375
SGW,TU,TU Building,TU Tunnel,1550 DeMaisonneuve,45.496480,-73.578918
SGW,V,V Building,V Annex,2110 Mackay Street,45.497101,-73.579907
SGW,VA,VA Building,Visual Arts Building,1395 Rene Levesque W,45.495543,-73.573795
LOY,VE,VE Building,Vanier Extension,7141 Sherbrooke W,45.459026,-73.638606
LOY,VL,VL Building,Vanier Library Building,7141 Sherbrooke W,45.459026,-73.638606
SGW,X,X Building,X Annex,2080 Mackay Street,45.496940,-73.579593
SGW,Z,Z Building,Z Annex,2090 Mackay Street,45.496981,-73.579705
